,Cand,party,num,cand_status
146,Сабеков Нурбек Дуйшембиевич,Ата-Мекен,42.0,False
147,Ивахник Наталья Владимировна,Ата-Мекен,49.0,True
148,Боронбаев Абдыбахаб Жолдошович,Ата-Журт Кыргызстан,31.0,True
149,Сарыбашов Таалайбек Насирбекович,Ата-Журт Кыргызстан,5.0,True
150,Усеинова Нургуль Эмилькановна,Ата-Журт Кыргызстан,32.0,True
151,Мучкина Александра Александровна,Ата-Мекен,50.0,True
152,Абдалиев Мейкинбек Акимович,Ата-Журт Кыргызстан,33.0,True
153,Текебаев Омурбек Чиркешович,Ата-Мекен,1.0,True
154,Эгембердиев Арсланбек Абдыкайымович,Ата-Журт Кыргызстан,34.0,True
155,Эсенаманов Замирбек Садыбакасович,Ата-Журт Кыргызстан,6.0,True
156,Токтакунов Мухаммедали Нурмаматович,Ата-Мекен,3.0,True
157,Жунушалиева Гүлсүнкан Ишенгазиевна,Ата-Журт Кыргызстан,16.0,True
158,Джурабаева Гульнар Курашбековна,Ата-Мекен,8.0,True
159,Батыров Нурлан Насиралиевич,Ата-Журт Кыргызстан,35.0,True
160,Токторбаев Жеңишбек Шермаматович,Ата-Журт Кыргызстан,7.0,True
161,Суранова Перизаткан Юлдашалиевна,Ата-Мекен,12.0,True
162,Афиджанов Искендер Белекович,Ата-Мекен,14.0,True
163,Борбуев Берадор Сманович,Ата-Журт Кыргызстан,17.0,True
164,Садырбаева Жылдыз Эсенбековна,Ата-Журт Кыргызстан,36.0,True
165,Дуйшенбеков Нурдин Ракымбаевич,Ата-Мекен,17.0,True
166,Караев Мааданбек Адилбекович,Ата-Мекен,19.0,True
167,Мамасалиева Гульгакы Эшмаматовна,Ата-Мекен,20.0,True
168,Жоробеков Афтандил Темирович,Ата-Мекен,22.0,True
169,Мурзаев Сүйүналы Шералиевич,Ата-Мекен,23.0,True
170,Акматова Венера Сайпидиновна,Ата-Мекен,24.0,True
171,Кадыров Бахтияр Сабиржанович,Ата-Журт Кыргызстан,18.0,True
